IRIS,COMMUNE,population_2021,pop_0_14,pop_15_29,pop_30_44,pop_45_59,pop_60_74,pop_75p,pop_15p_active_base,pop_cs1_agriculteurs,pop_cs2_artisans_commerc_chefs_entr,pop_cs3_cadres_prof_intel_sup,pop_cs4_prof_intermediaires,pop_cs5_employes,pop_cs6_ouvriers,pop_cs7_retraites,pop_cs8_autres_sans_activite,pop_nationalite_francaise,pop_etrangers,pop_immigres,pop_menages
173000505,17300,1931.5,437.8,433.5,353.2,277.7,272.9,156.4,1575.8,3.8,21.0,68.7,137.7,343.2,231.3,383.8,386.3,1649.9,281.6,294.9,1872.5
173000601,17300,2429.6,292.6,368.3,410.7,535.6,482.0,340.4,2026.4,0.0,123.2,220.6,315.9,264.9,182.6,621.9,297.3,2330.1,99.5,136.5,2422.6
173000602,17300,2038.3,257.5,344.9,319.9,396.9,364.6,354.4,1706.9,0.0,51.8,155.0,222.5,284.8,157.7,522.2,312.9,1922.9,115.5,156.2,2038.3
173000603,17300,3321.2,437.7,410.4,456.2,782.1,765.2,469.8,2839.3,1.2,114.6,577.9,408.1,207.8,71.5,1085.3,372.9,3278.8,42.4,105.8,3321.2
173000701,17300,1801.2,202.9,231.9,249.5,397.8,354.5,364.6,1573.6,0.0,51.3,195.8,211.1,135.8,90.9,656.0,232.7,1759.5,41.8,57.9,1591.2
173000702,17300,3096.1,308.0,504.9,389.4,652.8,677.5,563.5,2995.0,0.0,116.0,369.4,370.3,412.4,182.7,1157.0,387.2,2987.5,108.6,155.6,3096.1
173000703,17300,2190.6,248.3,413.2,316.0,412.3,459.9,340.8,1941.8,0.0,50.2,235.7,226.9,342.2,133.9,642.4,310.5,2117.8,72.8,106.0,1899.6
173000801,17300,4027.4,579.5,705.4,816.9,756.9,668.5,500.1,3411.9,3.9,117.4,366.3,585.0,597.8,270.6,1050.9,420.0,3917.3,110.1,216.2,4018.4
173000802,17300,2288.6,284.5,535.2,427.4,394.7,418.7,228.0,2008.7,0.0,61.4,293.4,325.5,347.1,191.3,537.1,252.8,2241.1,47.5,87.6,2257.6
173000901,17300,1620.3,211.5,191.1,232.5,348.8,418.4,218.0,1389.1,0.0,65.1,144.8,214.7,167.1,67.1,535.3,194.9,1577.5,42.8,63.6,1597.3
173000902,17300,1865.6,331.9,364.5,376.1,358.0,252.0,183.1,1579.8,0.0,41.5,87.5,122.7,312.9,299.5,380.5,335.2,1559.6,306.0,320.7,1788.6
173000903,17300,2719.4,588.1,564.2,425.5,543.1,468.9,129.5,1910.7,4.2,70.8,28.2,140.3,372.4,280.8,403.2,610.6,2215.8,503.6,552.4,2719.4
173000904,17300,1802.0,326.3,275.2,296.8,328.0,388.4,187.3,1489.0,0.0,22.4,43.4,106.0,272.6,244.9,487.1,312.7,1598.2,203.8,268.4,1793.0
173001001,17300,3227.5,196.6,1397.9,395.3,438.2,504.8,294.7,3027.3,0.0,91.5,209.6,336.0,341.6,269.3,713.3,1066.1,3038.5,189.0,258.3,2934.5
173001002,17300,5411.5,193.2,3432.6,408.0,450.4,544.3,382.9,5100.9,0.0,119.1,397.7,445.3,614.5,302.8,950.0,2271.5,4865.7,545.8,609.1,5133.5
173001003,17300,4713.2,593.5,1271.9,931.2,838.3,694.1,384.2,4121.9,1.3,146.1,465.7,625.8,706.3,366.3,888.6,921.8,4517.0,196.2,272.2,4639.2
173030000,17303,1015.0,195.2,133.7,185.2,196.7,214.9,89.2,841.7,5.0,60.0,20.2,75.9,166.5,111.2,302.1,100.8,1003.0,12.0,19.1,1015.0
173150000,17315,1389.0,275.2,215.4,308.3,293.7,211.4,85.1,1112.6,20.4,36.0,47.9,217.6,213.4,124.6,294.0,158.8,1379.0,10.0,23.2,1389.0
173210000,17321,351.0,72.3,52.6,77.4,65.8,56.8,26.1,281.1,0.0,9.7,9.7,48.0,39.2,87.5,53.8,33.1,335.4,15.6,18.7,351.0
173220000,17322,685.0,141.1,79.1,126.8,118.7,95.4,124.0,558.4,15.4,41.0,5.2,107.6,91.8,65.9,180.5,50.9,677.9,7.1,10.1,592.3
173380000,17338,1838.0,322.3,240.6,353.1,395.0,347.0,180.1,1551.5,19.4,78.3,97.4,230.0,233.9,175.6,511.4,205.5,1815.5,22.5,31.4,1823.0
173400000,17340,1508.0,248.9,186.7,277.5,341.4,319.5,134.1,1294.0,15.3,80.4,110.7,175.1,155.7,230.4,322.1,204.3,1477.1,30.9,45.0,1496.0
173490000,17349,3038.0,724.7,356.3,728.2,505.2,412.0,311.6,2307.5,66.8,113.2,123.6,391.0,416.9,318.9,604.8,272.3,3013.3,24.7,51.4,2969.0
173590000,17359,1227.0,235.1,155.1,249.9,250.5,250.5,85.9,988.9,9.8,44.5,29.5,172.5,167.6,152.7,298.9,113.4,1214.4,12.6,21.3,1227.0
173730000,17373,2349.0,476.0,356.1,513.8,491.3,342.6,169.1,1848.8,26.4,109.1,133.0,313.6,373.5,257.5,431.0,204.7,2319.8,29.2,59.5,2269.0
173760000,17376,2083.0,488.1,353.1,538.6,389.5,243.9,69.7,1604.6,10.5,104.3,99.0,328.3,354.2,166.3,340.2,201.9,2058.9,24.1,49.3,2067.0
173820000,17382,552.0,112.2,72.5,114.1,112.8,112.6,27.9,416.1,10.0,5.0,45.2,60.1,75.3,50.2,135.1,35.1,545.8,6.2,9.3,552.0
173910000,17391,2408.0,368.5,319.2,393.3,555.1,506.6,265.3,2019.9,0.0,44.5,213.4,304.0,288.7,189.9,712.4,267.0,2351.8,56.2,109.7,2283.0
173940000,17394,905.0,143.2,108.9,169.6,174.9,174.3,134.2,803.1,4.8,24.2,62.9,77.3,96.6,154.5,276.2,106.6,891.1,13.9,19.9,840.0
173960000,17396,1744.0,320.5,273.2,330.8,354.9,286.9,177.7,1408.2,26.5,55.9,101.2,231.7,274.3,205.1,336.2,177.3,1719.5,24.5,36.5,1670.0
174070000,17407,4961.0,973.8,693.5,1055.8,1091.2,828.1,318.6,3975.2,24.7,198.6,460.7,771.1,714.1,309.7,1049.2,447.1,4873.3,87.7,115.2,4961.0
174130000,17413,1393.0,316.7,167.8,300.3,292.0,220.1,96.0,1087.3,0.0,85.6,130.6,211.1,151.0,85.6,293.0,130.5,1379.9,13.1,27.2,1393.0
174140000,17414,5384.0,892.1,662.2,980.8,1151.5,1060.5,636.9,4500.5,14.2,214.8,426.3,865.2,673.2,405.4,1453.9,447.6,5237.8,146.2,224.5,5313.9
174200000,17420,2350.0,378.2,289.0,403.6,512.2,539.1,228.0,1943.4,5.1,102.3,184.3,337.3,230.4,163.7,695.8,224.6,2324.1,25.9,41.5,2350.0
174340101,17434,2771.1,445.4,437.2,396.7,496.8,616.9,378.1,2292.4,0.0,65.2,144.6,297.8,317.8,185.0,859.7,422.4,2694.6,76.5,100.9,2592.1
174340102,17434,2120.0,298.6,297.3,294.9,445.5,491.6,292.1,1797.2,0.0,50.0,49.9,178.6,358.8,218.9,694.4,246.5,2084.0,36.0,61.8,2120.0
174340103,17434,1933.9,241.9,238.7,247.0,345.6,450.5,410.2,1674.6,9.9,34.7,74.8,154.5,263.0,195.1,678.5,264.1,1902.6,31.3,37.4,1765.9
174390000,17439,772.0,132.0,112.6,135.5,176.8,150.0,65.1,631.8,0.0,35.0,14.9,79.6,135.6,83.6,199.1,84.0,765.9,6.1,13.8,772.0
174430000,17443,1837.0,376.8,237.5,404.2,375.6,336.8,106.0,1470.5,5.4,117.1,132.6,280.1,233.2,217.0,333.3,151.8,1826.3,10.7,25.7,1837.0
174470000,17447,2052.0,436.0,292.0,450.5,442.5,327.9,103.0,1591.5,15.1,73.8,109.2,300.9,305.9,262.1,376.3,148.2,2030.3,21.7,36.3,2025.3
174570000,17457,1194.0,232.4,138.9,216.4,251.7,263.6,90.9,945.4,5.1,50.2,15.3,137.8,156.5,140.8,318.7,120.9,1171.1,22.9,23.6,1190.0
174660000,17466,2339.0,529.6,314.0,557.8,491.1,333.8,112.7,1854.7,15.3,107.6,138.4,399.4,342.7,246.3,392.3,212.7,2315.6,23.4,49.9,2339.0
174720000,17472,2316.0,603.1,304.1,637.9,410.9,272.1,87.9,1700.2,5.2,89.0,99.4,376.5,412.4,182.9,325.1,209.8,2287.0,29.0,58.2,2316.0
174800000,17480,747.0,151.2,125.1,167.4,173.5,102.3,27.5,581.3,0.0,48.5,30.4,109.8,109.0,105.3,121.4,56.9,741.2,5.8,10.6,747.0
174820000,17482,641.0,134.2,69.5,138.0,124.5,120.0,54.9,475.5,10.9,20.6,20.6,68.4,68.0,89.0,173.4,24.5,627.0,14.0,28.2,641.0
174830000,17483,1505.0,244.5,194.6,313.4,339.3,333.7,79.5,1268.8,35.4,125.9,106.1,176.4,181.2,125.9,372.4,145.4,1492.9,12.1,28.2,1492.0
851110000,85111,1508.0,262.2,220.0,250.4,297.4,324.6,153.5,1242.7,35.1,55.7,25.1,90.9,213.0,305.2,377.0,140.7,1475.0,33.0,44.1,1508.0
851320000,85132,752.0,134.1,68.4,139.8,149.5,149.2,111.1,629.5,5.1,20.3,15.3,81.4,96.5,106.7,232.9,71.3,739.0,13.0,15.0,732.0
