idINS,km_pa,f_i,ind_18_64,IRIS,COMMUNE
CRS3035RES200mN2609200E3486000,11381.96787675097,7.627167701172532,10.6,173400000,17340
CRS3035RES200mN2609200E3489800,12302.138429464267,2.646479980756817,3.9999999999999996,174570000,17457
CRS3035RES200mN2609200E3490000,11602.264193127668,3.903557971616098,5.9,174570000,17457
CRS3035RES200mN2609200E3490200,10602.747856764418,17.863739870066233,27,174570000,17457
CRS3035RES200mN2609200E3490400,10596.360207555528,15.166093540611957,23,174570000,17457
CRS3035RES200mN2609200E3490600,12428.577525242881,5.756093958145685,8.7,174570000,17457
CRS3035RES200mN2609200E3493200,12361.448750385132,5.643294587955005,8.9,170630000,17063
CRS3035RES200mN2609400E3469800,10512.221724127428,0.7559718465926261,1,174830000,17483
CRS3035RES200mN2609400E3476600,11170.542031096014,0.47715847409776613,0.7,171070000,17107
CRS3035RES200mN2609400E3480400,11461.088484857495,2.4108658743633296,3,170180000,17018
CRS3035RES200mN2609400E3487000,12162.06321447383,4.173355911658029,5.8,173400000,17340
CRS3035RES200mN2609400E3488000,13206.394335987794,3.0142316106255045,3.8,171740000,17174
CRS3035RES200mN2609400E3489600,10933.944088381459,1.9186979860483289,2.9,174570000,17457
CRS3035RES200mN2609400E3489800,10686.007936494547,20.973353847461272,31.7,174570000,17457
CRS3035RES200mN2609400E3490000,10656.064134217679,9.924299927824666,15,174570000,17457
CRS3035RES200mN2609400E3490200,10593.799188570234,29.772899783444377,45,174570000,17457
CRS3035RES200mN2609400E3490400,10635.228430375031,20.51021985080102,31,174570000,17457
CRS3035RES200mN2609400E3490600,10445.12166906137,1.4555639894128178,2.1999999999999997,174570000,17457
CRS3035RES200mN2609400E3493200,12318.238334919417,3.931283870298995,6.2,170630000,17063
CRS3035RES200mN2609400E3495400,12366.217879769149,3.360613631512553,5.300000000000001,170630000,17063
CRS3035RES200mN2609400E3495600,12298.98573436096,5.453071175661918,8.6,170630000,17063
CRS3035RES200mN2609400E3497400,9337.862202959228,4.81899313196038,7.6,170630000,17063
CRS3035RES200mN2609400E3497600,9445.830455521213,2.7265355878097934,4.3,170630000,17063
